movie,city_name,cinema_date,cinema_name,cinema_url,cinema_address,hall,lang,begin_time,all_seats,selectable_seat,sold_seat,occupancy_rate,url
八角笼中,北京,2023-07-27,万画影城 （国投财富广场店）,https://www.maoyan.com/cinema/35745?poi=838686599,地址：丰台区北京西站南路与莲花池南路交叉路口往东北约150米国投财富广场9号楼底下一层,4号激光厅（凭停车票 免费停车3小时）,国语2D,19:40,76,18,58,76.32%,https://www.maoyan.com/xseats/202307270416325?movieId=1413252&cinemaId=35745
八角笼中,北京,2023-07-27,万画影城 （国投财富广场店）,https://www.maoyan.com/cinema/35745?poi=838686599,地址：丰台区北京西站南路与莲花池南路交叉路口往东北约150米国投财富广场9号楼底下一层,4号激光厅（凭停车票 免费停车3小时）,国语2D,17:20,76,18,58,76.32%,https://www.maoyan.com/xseats/202307270416323?movieId=1413252&cinemaId=35745
八角笼中,北京,2023-07-27,万画影城（四季青店）,https://www.maoyan.com/cinema/13054?poi=41066531,地址：海淀区西四环北路金四季购物中心中段三层B003,1号厅（扫码免1小时停车）,国语2D,10:15,99,96,3,3.03%,https://www.maoyan.com/xseats/202307270416855?movieId=1413252&cinemaId=13054
八角笼中,北京,2023-07-27,万象影城（北京丽泽天街杜比影院）,https://www.maoyan.com/cinema/36774?poi=1304407136,地址：丰台区丽泽天街4层,2号激光厅,国语2D,10:05,111,36,75,67.57%,https://www.maoyan.com/xseats/202307270620627?movieId=1413252&cinemaId=36774
八角笼中,北京,2023-07-27,万画影城（四季青店）,https://www.maoyan.com/cinema/13054?poi=41066531,地址：海淀区西四环北路金四季购物中心中段三层B003,1号厅（扫码免1小时停车）,国语2D,19:40,99,95,4,4.04%,https://www.maoyan.com/xseats/202307270416857?movieId=1413252&cinemaId=13054
八角笼中,北京,2023-07-27,万画影城 （国投财富广场店）,https://www.maoyan.com/cinema/35745?poi=838686599,地址：丰台区北京西站南路与莲花池南路交叉路口往东北约150米国投财富广场9号楼底下一层,4号激光厅（凭停车票 免费停车3小时）,国语2D,22:00,76,20,56,73.68%,https://www.maoyan.com/xseats/202307270416321?movieId=1413252&cinemaId=35745
八角笼中,北京,2023-07-27,UME影城（双井CINITY巨幕店）,https://www.maoyan.com/cinema/135?poi=291070,地址：朝阳区双井街道东东三环中路辅路65号VIVA北京富力广场F6层1-9号厅、F4层10号巨幕厅,六层3号ALPD Pro高亮厅-儿童需购票,国语2D,12:55,136,12,124,91.18%,https://www.maoyan.com/xseats/202307270735195?movieId=1413252&cinemaId=135
八角笼中,北京,2023-07-27,万达影城（CBD万达广场IMAX店）,https://www.maoyan.com/cinema/264?poi=30863,地址：朝阳区建国路93号万达广场B座3层,陶琳生日快乐-3号厅,国语2D,13:15,83,24,59,71.08%,https://www.maoyan.com/xseats/202307270535016?movieId=1413252&cinemaId=264
八角笼中,北京,2023-07-27,万达影城（CBD万达广场IMAX店）,https://www.maoyan.com/cinema/264?poi=30863,地址：朝阳区建国路93号万达广场B座3层,4DX厅-儿童需购票,国语2D,08:40,96,28,68,70.83%,https://www.maoyan.com/xseats/202307270756541?movieId=1413252&cinemaId=264
八角笼中,北京,2023-07-27,万画影城（四季青店）,https://www.maoyan.com/cinema/13054?poi=41066531,地址：海淀区西四环北路金四季购物中心中段三层B003,1号厅（扫码免1小时停车）,国语2D,22:00,99,99,0,0.00%,https://www.maoyan.com/xseats/202307270416854?movieId=1413252&cinemaId=13054
八角笼中,北京,2023-07-27,CGV影城（亦庄店）,https://www.maoyan.com/cinema/16152?poi=105355906,地址：大兴区荣华街道大族广场S3三层,激光1厅,中文2D,11:40,213,132,81,38.03%,https://www.maoyan.com/xseats/202307270401374?movieId=1413252&cinemaId=16152
八角笼中,北京,2023-07-27,万达影城（北京西长安中骏世界城店）,https://www.maoyan.com/cinema/38691?poi=1178965083,地址：门头沟区中骏世界城4楼,5号巨幕全景声厅,国语2D,22:10,285,283,2,0.70%,https://www.maoyan.com/xseats/202307270710188?movieId=1413252&cinemaId=38691
八角笼中,北京,2023-07-27,万达影城（北京西长安中骏世界城店）,https://www.maoyan.com/cinema/38691?poi=1178965083,地址：门头沟区中骏世界城4楼,2号特色沙发厅,国语2D,10:15,130,130,0,0.00%,https://www.maoyan.com/xseats/202307270710187?movieId=1413252&cinemaId=38691
八角笼中,北京,2023-07-27,CGV星星影城（奥体店）,https://www.maoyan.com/cinema/65?poi=360511,地址：朝阳区奥运村街道湖景东路9号新奥购物中心B1层H1-67室,8厅,中文2D,13:35,92,88,4,4.35%,https://www.maoyan.com/xseats/202307270534981?movieId=1413252&cinemaId=65
八角笼中,北京,2023-07-27,CGV星星影城（奥体店）,https://www.maoyan.com/cinema/65?poi=360511,地址：朝阳区奥运村街道湖景东路9号新奥购物中心B1层H1-67室,8厅,中文2D,18:10,92,88,4,4.35%,https://www.maoyan.com/xseats/202307270534982?movieId=1413252&cinemaId=65
八角笼中,北京,2023-07-27,万达影城（乐多港万达广场PRIME店）,https://www.maoyan.com/cinema/36295?poi=693938016,地址：昌平区城南街道南口路29号乐多港万达广场室内3F-A,2号厅,国语2D,08:40,144,44,100,69.44%,https://www.maoyan.com/xseats/202307270773156?movieId=1413252&cinemaId=36295
